objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Abducktion","368609","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
15 Min 
S-2-3","","","","135499814","6.04467","6.89543","1.38","2969","5537","thing","Abducktion","1","4","15","15","15","2023","2,3","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Above and Below","172818","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 Players
90 Minutes
S-1-4","","","","137223616","7.06492","7.33973","2.5129","430","27385","thing","Above and Below","2","4","90","90","90","2015","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Acquire","5","8.5","1","0","1","0","0","0","0","0","0","0","3","","2-6 Players
90 Min 
B-A-2

A rare find a game that plays great at 6","","","","146488185","7.12852","7.35648","2.4877","367","30454","thing","Acquire","2","6","90","90","90","1963","3,4,5,6","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Adulthood","416780","7.8","1","0","1","0","0","0","0","0","0","0","3","","1-4 players 
45 minutes 
B-A-1

Hand management worker placement
Better version of life once you get near the end of the game you have more time that gets wasted","","","","138693872","5.68694","7.07568","2.3","6644","852","thing","Adulthood","1","4","45","45","45","2024","1,2,3,4","4","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Adulthood: Pet Projects","448394","0","0","0","1","0","0","0","0","0","0","0","3","","expansion","","","","139487224","0","7.65","0","0","215","thing","Adulthood: Pet Projects","1","4","45","45","45","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"Aethermon: Collect","388721","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players","","","","135497384","5.53324","6.55857","1.25","16074","258","thing","Aethermon: Collect","2","4","20","20","10","2023","1,2,3,4","1","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aetherspire","423020","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
45 - 60 minutes
S-1-1","","","","139484454","5.51872","7.57812","2.3333","19998","98","thing","Aetherspire","1","4","60","60","45","2025","1,2,3,4","2","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"After Us","369548","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 6 players
40 - 60 min
S-1-3","","","","139485668","6.22066","6.7781","2.043","2175","4276","thing","After Us","1","6","60","60","40","2023","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Age of Wonders: Planetfall","353848","0","0","0","1","0","0","0","0","0","0","0","3","","2-6 players
20-40 mim
S-3-1","","","","147552673","5.69907","7.02475","2.1176","6373","595","thing","Age of Wonders: Planetfall","2","6","40","40","20","2022","2,3,4,5,6","3,4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Agent Avenue","422732","7.5","2","0","1","0","0","0","0","0","0","0","3","","2 players
10-15 Minutes
C-B-4","","","","137957073","6.98081","7.51857","1.2151","524","13512","thing","Agent Avenue","2","4","20","20","10","2024","2,4","2","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Aggretsuko Office Rage Card Game","360088","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players","","","","135496892","0","3.75","0","0","18","thing","Aggretsuko Office Rage Card Game","2","5","30","30","30","2019","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola","31260","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 5 players
30 - 150 min
S-2-3","","","","139487198","7.72175","7.85558","3.6355","64","90612","thing","Agricola","1","5","150","150","30","2007","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Agricola (Revised Edition)","200680","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
30 - 120 minutes 
Farming worker placement","","","","138695456","7.64929","7.95337","3.4489","86","29572","thing","Agricola (Revised Edition)","1","4","120","120","30","2016","1,2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Águeda: City of Umbrellas","317515","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 5 players
20 - 40 min
S-1-3","","","","139485620","5.74432","6.86834","1.7059","5574","1506","thing","Águeda: City of Umbrellas","1","5","40","40","20","2024","1,2,3,4","3,4","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Air, Land, and Sea: Critters at War","247367","0","0","0","1","0","0","0","0","0","0","0","3","","2 Players
20 Minutes
C-B-4","","","","147977806","7.06934","7.4368","1.7337","424","21463","thing","Air, Land, & Sea","2","2","20","20","20","2021","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Arcane Wonders","English","2021","English edition"
"Akrotiri","154458","0","0","0","1","0","0","0","0","0","0","0","3","","2 players
45 minutes 
C-B-4","","","","139482287","6.59995","7.14849","2.6382","1107","8271","thing","Akrotiri","2","2","45","45","45","2014","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Alice's Garden","298635","0","0","0","1","0","0","0","0","0","0","0","3","","1-4 Players
30-45 Min
C-C-1","","","","147999497","6.13023","7.10592","1.4407","2536","3749","thing","Alice's Garden","1","4","45","45","30","2020","1,2,3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"ALIEN: Fate of the Nostromo","332321","7.7","1","0","1","0","0","0","0","0","0","0","3","","2 -5 player
60 minutes
S-1-4","","","","138386990","6.31309","7.05607","1.9407","1830","8819","thing","ALIEN: Fate of the Nostromo","1","5","60","60","45","2021","1,2,3,4,5","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Almost Innocent","359838","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 5 players
30 - 45 min
S-1-2","","","","139485880","5.81104","7.19114","1.9231","4704","1506","thing","Almost Innocent","2","5","45","45","30","2023","2,3,4,5","3","10","","","","","","","standalone","","","","","","","","","","","","","","",""
"Alpaca","391045","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
30 minutes
C-B-1","","","","139484170","5.66309","6.48664","1.8333","7188","1439","thing","Alpaca","2","4","30","30","30","2023","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Anarchy Pancakes","390151","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 players","","","","135496586","5.4944","5.55674","1","27474","1619","thing","Anarchy Pancakes","2","6","5","5","5","2023","2,3,4,5,6","3,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Animal Rescue Team","438214","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140294980","5.63144","7.21308","2.2","8125","495","thing","Animal Rescue Team","1","4","60","60","45","2025","1,2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Animal Upon Animal: Christmas Edition","304821","7.3","3","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
20 minuts
Dexterity

Fun, cute theme. Fun to play when short on time especially during the Christmas season. Easy game to add house rules to make it a versatile game.","","","","139232303","5.63277","6.98868","1","8082","643","thing","Animal Upon Animal: Christmas Edition","2","4","20","20","20","2020","2,3,4","2,4","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Ape Town","412123","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 players
45-60 Min 
S-2-2","","","","140199086","5.63475","7.28643","2.25","8009","279","thing","Ape Town","2","4","60","60","45","2025","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Aquicorn Cove Board Game","275100","0","0","0","1","0","0","0","0","0","0","0","3","","2-4 players
30-60 min 
S-3-1","","","","136401958","5.53382","6.03865","2.1111","15970","572","thing","The Aquicorn Cove Board Game","2","4","60","60","30","2019","3,4","4","10","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Arboretum","140934","7.9","1","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
30 minutes 
C-B-1

Build your tree farm while having a mix of high and low numbers.","","","","139934136","7.05758","7.24102","2.111","440","43456","thing","Arboretum","2","4","30","30","30","2015","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcadia Quest","155068","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 player 
60 minutes 
B-A-2

Dungeon competitive","","","","138689707","7.12224","7.58288","2.5361","371","17146","thing","Arcadia Quest","2","4","60","60","60","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Arcs","359871","0","0","0","1","0","0","0","0","0","0","0","1","","Have minis","","","","135501604","7.59627","7.99583","3.4429","100","30628","thing","Arcs","2","4","120","120","60","2024","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Ark Nova","342942","9.2","1","0","1","0","0","0","0","0","0","0","3","","2 - 4 player","","","","135538431","8.35341","8.53878","3.7974","2","90583","thing","Ark Nova","1","4","150","150","90","2021","1,2,3","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkeis","275284","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 5 players
60 min
B-A-2","","","","139485408","5.91325","7.54245","2.0357","3793","2017","thing","Arkeis","1","5","60","60","60","2023","1,2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Ankama","English","2023","English edition"
"Arkham Horror","15987","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 8 players
120-240 min 
 S-3-4","","","","135498841","7.018","7.24044","3.586","487","55894","thing","Arkham Horror","1","8","240","240","120","2005","1,2,3,4,5,6","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Arkham Horror: Lovecraft Letter","424784","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","147069345","6.1837","7.46116","1.4194","2308","4546","thing","Arkham Horror: Lovecraft Letter","2","6","20","20","15","2025","3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Arschmallows","394430","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 6 players","","","","136095860","5.58907","6.33046","1.1667","10065","1372","thing","Arschmallows","2","6","45","45","15","2023","2,3,4,5,6","4,5","8","","","","","","","standalone","","","","","","","","","","","","","","",""
"Art Society","395375","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
30 - 60 min
S-2-4","","","","139485639","6.65159","7.47173","1.8679","1003","7459","thing","Art Society","2","4","60","60","30","2023","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Assault on the Castle","254147","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players","","","","135497234","5.51014","6.28571","1","22942","124","thing","Assault on the Castle","2","5","30","30","15","2018","","","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Azul: Master Chocolatier","363247","8.5","1","0","1","0","0","0","0","0","0","0","3","","2-4 players
30-45 min 
S-3-2","","","","135850460","6.82851","7.85098","1.7889","726","8298","thing","Azul: Master Chocolatier","2","4","45","45","30","2022","2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Banana Bandits","206540","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players","","","","135498446","5.48224","5.39863","1.625","29211","745","thing","Banana Bandits","2","4","40","40","25","2016","3,4","4","8–12","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Bananarchy","460055","8","3","0","1","0","0","0","0","0","0","0","3","","3 - 8 player
20 - 40 minutes
C-A-5
Bananarchy is quick to learn and thrives on constant player interaction. It kept my whole family involved from start to finish, with plenty of sudden turnarounds. A great fit for groups that enjoy lively, unpredictable games.","","","","141949966","0","7.5","1","0","16","thing","Bananarchy","3","8","40","40","20","2026","","","10","","","","","","","standalone","","","","","","","","","","","","(Self-Published)","English","2026","English edition"
"Bärenpark","219513","8.2","2","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
30 - 45 minutes
Cute tile layer, quick all about bears.","","","","139484377","7.06658","7.27165","1.657","429","28368","thing","Bärenpark","2","4","45","45","30","2017","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Battle Bake","419136","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","147069300","0","7.28571","0","0","55","thing","Battle Bake","2","6","60","60","35","2024","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Battleship Command: Pirates of the Caribbean","24009","0","0","0","1","0","0","0","0","0","0","0","3","","2 players
30 minutes
C-A-2","","","","135500274","5.48478","5.20246","1.1818","28943","377","thing","Battleship Command: Pirates of the Caribbean","2","2","30","30","30","2006","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bayou Boss","456547","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","142315754","5.52069","6.63462","2","19365","105","thing","Bayou Boss","2","8","45","45","45","2026","3,4,5,6,7","4,5,6","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Beacon Patrol","362976","8","7","0","1","0","0","0","0","0","0","0","3","","1-4 Players
20 Min 
C-B-1","","","","136187930","6.30553","7.06797","1.4286","1867","6529","thing","Beacon Patrol","1","4","30","30","30","2023","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Beacon Patrol: Ships & Shores","417618","8.1","1","0","1","0","0","0","0","0","0","0","3","","expansion
C-B-1

A must adds so much depth to the base game","","","","139487157","5.67009","7.8","1.75","0","1450","thing","Beacon Patrol: Ships & Shores","1","4","40","40","40","2024","2,3,4","2,4","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Beasts","448416","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 5 players
20 - 30 minutes
C-B-1","","","","139484037","5.62831","6.95871","1.5","8232","492","thing","Beasts","2","5","30","30","20","2025","1,2,3,4,5","3","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Beasts of Balance: Battles Edition","275259","0","0","0","1","0","0","0","0","0","0","0","3","","1-5 players
30 min 
S-3-3","","","","148059076","5.53161","6.78159","2","0","245","thing","Beasts of Balance: Battles Edition","1","5","30","30","30","2019","2,3,4","2,3","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Beer & Bread","369880","8.2","1","0","1","0","0","0","0","0","0","0","3","","2 Players
30-40 min
C-B-4","","","","140198961","6.82145","7.29884","2.3568","736","14643","thing","Beer & Bread","2","2","45","45","30","2022","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Between Two Castles of Mad King Ludwig","258036","0","0","0","1","0","0","0","0","0","0","0","4","","2-7 players
45-60 min 
S-3-3","","","","139293947","6.78247","7.21647","2.1847","785","11853","thing","Between Two Castles of Mad King Ludwig","2","7","60","60","45","2018","3,4,5,6,7","6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Beyond Baker Street","168681","0","0","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
30 Min 
C-B-1","","","","135496702","6.13992","6.7994","2.1667","2492","4204","thing","Beyond Baker Street","2","4","30","30","30","2016","2,3,4","2,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Binding of Isaac: Four Souls","255664","7.75","1","0","1","0","0","0","0","0","0","0","3","","2 - 4 players
30-60 Min 
B-A-3

Can be slow to start with 2 players. Still fun best with 3/4.  Liked the video game theme, captures it well. First edition needs better health tracking","","","","135496809","6.07426","6.95604","2.0424","2804","7884","thing","The Binding of Isaac: Four Souls","2","4","60","60","30","2018","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Studio71","English","2018","English first retail edition"
"The Binding of Isaac: Four Souls – Ultimate Collector's Edition","378890","8","2","0","1","0","0","0","0","0","0","0","3","","1-4 players
30-60 Min 
B-A-3","","","","136473871","5.78856","7.88738","2.7692","0","1952","thing","The Binding of Isaac: Four Souls – Ultimate Collector's Edition","1","4","60","60","30","2023","2,3,4","4","12+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Biome","382549","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 players
60 - 90 min
S-1-2","","","","139486751","5.93714","7.4918","2.5946","3613","1951","thing","Biome","1","4","90","90","60","2024","2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Birds of a Feather: Western North America","358000","7.75","2","0","1","0","0","0","0","0","0","0","3","","1 - 7 players

wonderful art, amazing for bird lovers, super simple to learn, and quick to play a fun filler game.","","","","135497154","5.66931","6.89495","1.25","7051","919","thing","Birds of a Feather: Western North America","1","7","30","30","15","2022","2,3,4,5,6,7","4","5+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Bite Me","455060","0","0","0","1","0","0","0","0","0","0","0","3","","3 - 5 Players
15 - 30 minutes
C-A-5","","","","147994940","0","6.23529","0","0","51","thing","Bite Me","3","5","30","30","15","2025","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Blazon","311610","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","146488525","5.70303","6.75992","2.2143","6295","1443","thing","Blazon","1","4","60","60","30","2023","2,3,4","2","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Blob Party","382828","0","0","0","1","0","0","0","0","0","0","0","3","","4-8 players
15 minutes
C-B-5","","","","142316054","5.68317","6.92474","1.1429","6732","712","thing","Blob Party","4","8","15","15","15","2023","4,5,6,7,8","6,7,8","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Bloc by Bloc: Uprising","356768","0","0","0","1","0","0","0","0","0","0","0","3","","1 - 4 Players
60 - 120 Minutes
C-B-2","","","","146873667","5.85771","7.23939","2.5789","4243","1862","thing","Bloc by Bloc: Uprising","1","4","120","120","60","2022","1,2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Block and Key","311930","0","0","0","1","0","0","0","0","0","0","0","1","","1-4 Players
20-40Min 
S-1-3","","","","139295026","5.91589","6.98198","1.75","3767","2595","thing","Block and Key","1","4","40","40","20","2022","1,2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Blockbuster","272438","0","0","0","1","0","0","0","0","0","0","0","3","","4 - 10 players
30 - 60 min
C-B-5","","","","139485979","5.92155","6.54812","1.087","3719","5862","thing","Blockbuster","4","10","60","60","30","2019","4,6,7,8,9,10","6,8","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Blockbuster: New Movie Hero Round","436238","0","0","0","1","0","0","0","0","0","0","0","3","","Players 4+","","","","135496434","0","7.28571","1","0","79","thing","Blockbuster: New Movie Hero Round","4","99","0","0","0","2023","4,6,7,8,9,10,11,12","6,8,9,10","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Bloomchasers: A Delightful 3D Tree Game of Flowers and Wits","419230","7.75","1","0","1","0","0","0","0","0","0","0","3","","1 -4 players

A delightful game that is 3d in which you build a blossoming tree full of color.","","","","136060986","5.61454","6.8001","1.75","8769","1083","thing","Bloomchasers: A Delightful 3D Tree Game of Flowers and Wits","1","6","45","45","20","2025","3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bloomchasers: Birds and Bees Expansion Deck","444925","0","0","0","1","0","0","0","0","0","0","0","3","","Expansion","","","","136087482","5.5257","7.54359","0","0","465","thing","Bloomchasers: Birds and Bees Expansion Deck","1","6","0","0","0","2025","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"BLORP!","465047","7.8","1","0","1","0","0","0","0","0","0","0","3","","Cute tile layer","","","","146791402","5.5114","6.69375","0","22486","71","thing","BLORP!","2","6","30","30","20","2026","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Blueprints of Mad King Ludwig","376610","7.8","0","0","1","0","0","0","0","0","0","0","3","","1 - 5 players
60 minutes
S-1-3

Writing tile 

Like the tracing ability with the cards and the paper but I still would rather have white boards and dry erase markers. Fun, but when I opened the box my pencil sharpener was partly melted onto the eraser and rule book.","","","","139213796","5.88415","7.34689","2.8182","4028","1922","thing","Blueprints of Mad King Ludwig","1","5","60","60","60","2024","1,2,3,4,5","4","10+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Boblin's Rebellion","370399","0","0","0","1","0","0","0","0","0","0","0","3","","1- 4 players","","","","135497352","5.54723","7.15","2.5","13744","282","thing","Boblin's Rebellion","1","4","40","40","30","2024","1,2,3,4","1","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bomb Busters","413246","8","1","0","1","0","0","0","0","0","0","0","1","","2-5 players
30 Min 
S-3-1","","","","135521855","7.63786","8.03486","2","89","28519","thing","Bomb Busters","2","5","30","30","30","2024","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bombastic","438845","7.5","6","0","1","0","0","0","0","0","0","0","3","","2 players 
5 min
Push your luck

Great restaurant game","","","","138696734","5.63084","6.72467","1.1667","8142","657","thing","Bombastic","2","2","5","5","5","2025","2","2","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Bonsai","366994","7.6","1","1","1","0","0","0","0","0","0","0","3","","1 - 4 players

A tile laying game in which you become a master of the bonsai,each turn you must choose to gather supplies for your bonsai tree or help in mature into the work of art that it will become.","","","","135498331","6.51762","7.16279","1.785","1299","6995","thing","Bonsai","1","4","40","40","40","2023","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Bonsai: Vigorous Growth and Specialists","394083","0","0","0","1","0","0","0","0","0","0","0","3","","expansion","","","","139484281","5.53474","6.6487","2.3333","0","745","thing","Bonsai: Vigorous Growth and Specialists","1","4","40","0","40","2023","1,2,3,4","4","8+","","","","","","","expansion","","","","","","","","","","","","","","",""
"Bonsai: Wabi Sabi","422336","0","0","0","1","0","0","0","0","0","0","0","3","","expansion","","","","139484283","5.59177","7.73126","2","0","836","thing","Bonsai: Wabi Sabi","1","5","40","40","40","2024","1,2,3,4,5","4,5","8","","","","","","","expansion","","","","","","","","","","","","","","",""
"Boo-ty Call","362888","0","0","0","1","0","0","0","0","0","0","0","3","","3-8 Players
20 Minutes
C-B-5","","","","147962477","5.49591","5.81897","1","27132","243","thing","Boo-ty Call","3","8","90","90","15","2023","3,4,5,6,7,8","4,5,6,7","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Bookshelf","458571","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","146873702","5.56479","6.90463","1","11846","746","thing","Bookshelf","1","6","20","20","15","2026","1,2","1","8+","","","","","","","standalone","","","","","","","","","","","","","","",""
